String,CMC,pCMC,Temperature,Class
CCCCCCCCCCCCC(C(=O)[O-])C(=O)[O-].[K+].[K+],0.05,-1.6989700043360187,25.0,Anionic
CCCCCCCCCCCCCC(=O)N(CCC)CC(=O)[O-].[Na+],0.000603,0.2196826878598487,25.0,Anionic
CCCCCCCCCCN(C)C(=O)C(O)C(O)C(O)C(O)CO,0.0012900000000000001,-0.11058971029924897,20.0,Nonionic
CCCCCCCCCCCCCCCC(=O)N(C)CC(=O)[O-].[Na+],0.0009,0.045757490560675115,20.0,Anionic
CCCCCCCCCC(=O)N(C)CC(O)C(O)C(O)C(O)CO,0.0067,-0.8260748027008264,25.0,Nonionic
CCCCCCCCCCCC[N+](C)(C)CCCC.[Br-],0.0075,-0.8750612633917001,25.0,Cationic
CCCCCCCCCCCCOCCOCC[N+](C)(C)C.[Cl-],0.0053,-0.724275869600789,25.0,Cationic
CCCCCCCCCCCC[N+](CCO)(CCO)CCO.[Cl-],0.0254,-1.404833716619938,25.0,Cationic
CCCCC(CCCC)(C(C(=O)[O-])S(=O)(=O)O)C(=O)[O-].[Na+].[Na+],0.2,-2.3010299956639813,25.0,Anionic
CCCCCCCCCCCCCC[N+]1=CC=CC=C1.[Br-],0.0027,-0.43136376415898736,25.0,Cationic
CCCCCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0003,0.5228787452803376,25.0,Anionic
CCCCCCCCCCCCC(C(=O)OCC)S(=O)(=O)[O-].[Na+],0.00225,-0.3521825181113625,25.0,Anionic
CCCCCCCCCCCC(=O)OCCCCS(=O)(=O)[O-].[Na+],0.0032,-0.505149978319906,20.0,Anionic
CCCCCOC(=O)CC(C(=O)OCCCCC)S(=O)(=O)[O-].[Na+],0.053,-1.7242758696007892,25.0,Anionic
CCCCCCCCCCCCOCCOCCOCCOCCO,6.4e-05,1.193820026016113,25.0,Nonionic
CCCCCCCCCCCCCC(=O)N(CCCC)CC(=O)[O-].[Na+],0.000457,0.34008379993014975,25.0,Anionic
CCCCCCCCCCCCCC[N+](C)(C)CCCS(=O)(=O)[O-],0.00032,0.494850021680094,25.0,Zwitterionic
CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0.00098,0.00877392430750515,25.0,Cationic
CCCCCCCCCCCCCCCCC(C(=O)O)S(=O)(=O)O,0.0001,1.0,25.0,Nonionic
CCCCCCOCCOCCOCCOCCOCCOCCO,0.074,-1.8692317197309762,20.0,Nonionic
C(CC)(CC)COCCOCCOCCOCCOCCOCCO,0.1,-2.0,20.0,Nonionic
CCCCCCCCCCCCCCCCCC[N+]1=CC=CC=C1.[Cl-],0.000177,0.7520267336381934,25.0,Cationic
CCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],0.002,-0.3010299956639812,25.0,Cationic
CCCCCCCCCCCCCCC[N+]1=CC=CC=C1.[Br-],0.0013,-0.11394335230683678,25.0,Cationic
CCCCCCCCC=CCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0003,0.5228787452803376,25.0,Anionic
CCCCCCCCCCCCOCCOCC[N+]1=CC=CC=C1.[Cl-],0.004,-0.6020599913279624,25.0,Cationic
CCCCCCCCCCCCC(C(=O)OCCC)S(=O)(=O)[O-].[Na+],0.00135,-0.13033376849500614,25.0,Anionic
CCCCCCCCCCCCCCC(C(=O)OC)S(=O)(=O)[O-].[Na+],0.00073,0.1366771398795441,23.0,Anionic
CCCCCCCCCCCC[N+]1=CC=CC=C1.[I-],0.0057,-0.7558748556724915,25.0,Cationic
CCCCCCCCCCCC(=O)NCCOCCOCCOCCO,0.0005,0.3010299956639812,23.0,Nonionic
CCCCCCCCCCCCOCCOCCOS(=O)(=O)[O-].[Na+],0.0028799999999999997,-0.4593924877592308,25.0,Anionic
CCCCCCCCCCCCC(=O)OC1C(C(C(C(O1)CO)O)O)O,0.0002301441817408506,0.6380000000000005,25.0,Nonionic
CCCCCCCCCCCCCCC(C(=O)[O-])C(=O)[O-].[K+].[K+],0.018,-1.255272505103306,25.0,Anionic
CCCCCCCCCCCCCCCCCC(=O)N(C)CC(=O)[O-].[Na+],0.005,-0.6989700043360189,20.0,Anionic
CCCCCCCCCCCCCCCCCCCC(=O)N(C)CC(=O)[O-].[Na+],0.005,-0.6989700043360189,20.0,Anionic
